param_name,tasknum,model_path,pp_size,world_size,global_bsz,micro_bsz,grad_acc_steps,seqlen,rank,max_steps,num_samples,peak_memory_mb,throughput_per_gpu_tok_s,total_throughput_tok_s,tokens_per_step,time_per_step_s,status
Llama-2-7b-hf,24,Llama-2-7b-hf,2,2,16,2,8,512,16,50,4000,7273.28,2327.36,4654.72,8192,1.759934002474907,OK
Llama-2-7b-hf,25,Llama-2-7b-hf,1,1,8,4,2,512,16,50,4000,14300.29,2555.23,2555.23,4096,1.6029868152769027,OK
Llama-2-7b-hf,26,Llama-2-7b-hf,2,2,8,4,2,512,16,50,4000,7637.79,2236.87,4473.74,4096,0.9155650529534574,OK
Llama-2-7b-hf,27,Llama-2-7b-hf,1,1,16,4,4,512,16,50,4000,14300.29,2525.84,2525.84,8192,3.243277483926139,OK
Llama-2-7b-hf,28,Llama-2-7b-hf,2,2,16,4,4,512,16,50,4000,7765.79,2515.14,5030.28,8192,1.628537576437097,OK
Llama-2-7b-hf,29,Llama-2-7b-hf,1,1,8,8,1,512,16,50,4000,15579.32,2628.11,2628.11,4096,1.5585344601253373,OK
Llama-2-7b-hf,30,Llama-2-7b-hf,2,2,8,8,1,512,16,50,4000,8029.21,1813.98,3627.96,4096,1.129009140122824,OK
Llama-2-7b-hf,31,Llama-2-7b-hf,1,1,16,8,2,512,16,50,4000,15579.32,2713.49,2713.49,8192,3.0189903039996464,OK
Llama-2-7b-hf,32,Llama-2-7b-hf,2,2,16,8,2,512,16,50,4000,8756.82,2366.05,4732.1,8192,1.7311553010291412,OK
Llama-2-7b-hf,33,Llama-2-7b-hf,1,1,8,1,8,1024,16,50,4000,13663.78,2242.71,2242.71,8192,3.652723713721346,OK
Llama-2-7b-hf,34,Llama-2-7b-hf,2,2,8,1,8,1024,16,50,4000,7034.88,2317.71,4635.42,8192,1.767261650508476,OK
Llama-2-7b-hf,35,Llama-2-7b-hf,1,1,16,1,16,1024,16,50,4000,13663.79,2256.28,2256.28,16384,7.261510096264647,OK
Llama-2-7b-hf,36,Llama-2-7b-hf,2,2,16,1,16,1024,16,50,4000,7529.79,2263.59,4527.18,16384,3.6190299480029506,OK
Llama-2-7b-hf,37,Llama-2-7b-hf,1,1,8,2,4,1024,16,50,4000,14300.29,2307.03,2307.03,8192,3.5508857708829096,OK
Llama-2-7b-hf,38,Llama-2-7b-hf,2,2,8,2,4,1024,16,50,4000,7765.79,2437.61,4875.22,8192,1.6803344259335988,OK
Llama-2-7b-hf,39,Llama-2-7b-hf,1,1,16,2,8,1024,16,50,4000,14300.30,2277.60,2277.6,16384,7.193537056550755,OK
Llama-2-7b-hf,40,Llama-2-7b-hf,2,2,16,2,8,1024,16,50,4000,7551.00,2294.72,4589.44,16384,3.569934458234556,OK
Llama-2-7b-hf,41,Llama-2-7b-hf,1,1,8,4,2,1024,16,50,4000,15579.32,2267.21,2267.21,8192,3.6132515294128025,OK
